ID	City	Total trips	From Wuhan	To Wuhan	Population (million)
217	Chifeng	609	185	424	1.46
218	Tower	585	313	272	3.27
219	Chaozhou	585	253	332	0.48
220	Yanan	583	262	321	1.72
221	Baiyin	570	230	340	2.65
222	Hainan	566	458	108	0.52
223	Liaoyuan	552	487	65	4.31
224	Leshan	522	379	143	2.10
225	Ximeng	520	492	28	2.25
226	Yanbian	512	352	160	1.18
227	Wenshan	500	282	218	3.62
228	Yili	496	419	77	4.62
229	Xian	494	212	282	0.34
230	Rizhao	485	326	159	2.90
231	Guigang	480	172	308	6.12
232	Xingan League	479	287	192	0.23
233	Maoming	475	261	214	4.33
234	Baisha	455	249	206	1.77
235	Meishan	451	262	189	0.12
236	Shuozhou	450	450	0	8.83
237	Shannan	446	219	227	3.00
238	Qiongzhong	439	91	348	1.60
239	Mianyang	434	332	102	2.11
240	Wulanchabu	423	275	148	1.68
241	Alxa League	398	288	110	4.81
242	Bayannaoer	397	288	109	0.72
243	Bazhou	389	286	103	0.25
244	Wuhai	373	202	171	2.46
245	Qiannan	369	230	139	0.56
246	Wujiaqu	367	201	166	3.12
247	Shigatse	357	103	254	0.09
248	Yichun	357	216	141	1.28
249	Jiaxing	348	299	49	3.26
250	Zhengzhou	332	29	303	1.10
251	Aksu	326	178	148	0.10
252	Tongliao	324	217	107	1.15
253	Kashgar	321	45	276	4.61
254	Qingyang	319	83	236	9.72
255	Zhongwei	318	142	176	0.27
256	Bijie	309	177	132	4.21
257	Cangzhou	306	253	53	1.91
258	Zibo	303	187	116	7.51
259	Nagqu	294	256	38	2.24
260	Huangnan	265	227	38	6.64
261	Chizhou	261	206	55	2.33
262	Tumshuk	241	134	107	4.69
263	Anshun	235	144	91	1.12
264	Jiuquan	233	231	2	0.48
265	Ali	227	128	99	2.79
266	Jinchang	220	107	113	3.50
267	Turpan	214	191	23	1.44
268	Dingxi	210	32	178	0.17
269	Hechi	204	96	108	2.53
270	Yangjiang	203	147	56	0.47
271	Hulunbeir	199	84	115	4.82
272	Yaan	197	157	40	0.63
273	Pingliang	196	151	45	2.53
274	Jinzhong	187	18	169	3.35
275	Yulin	184	130	54	1.54
276	Qiqihar	175	129	46	2.10
277	Linxia	175	167	8	0.20
278	Binzhou	158	45	113	0.44
279	Golow	155	72	83	3.38
280	Zhaoqing	146	69	77	3.89
281	Liangshan	143	112	31	4.08
282	Lishui	143	52	91	1.22
283	Daxinganling	143	85	58	5.05
284	Jiayuguan	142	58	84	2.03
285	Zhangye	130	55	75	0.25
286	Suihua	127	41	86	2.17
287	Taiyuan	121	81	40	5.21
288	Guyuan	119	99	20	1.22
289	Heyuan	110	37	73	3.08
290	Luliang	110	59	51	2.63
291	Wuzhou	108	61	47	3.02
292	White	107	11	96	0.62
293	Yingtan	107	11	96	3.85
294	Tianshui	103	0	103	4.34
295	Yunfu	101	82	19	3.32
296	Heihe	99	38	61	1.64
297	Laiwu	94	87	7	0.41
298	Pingxiang	94	94	0	3.78
299	Jiamusi	94	65	29	1.38
300	Shaoxing	93	44	49	2.48
301	Tongchuan	88	9	79	1.16
302	Kezhou	81	60	21	0.85
303	Xinzhou	76	0	76	1.91
304	Dezhou	76	38	38	2.36
305	Shanwei	76	44	32	4.99
306	Jinhua	72	19	53	3.16
307	Yushu	70	43	27	3.04
308	Baoji	68	24	44	5.79
309	Lhasa	63	0	63	5.52
310	Yuncheng	61	41	20	4.36
311	Mudanjiang	61	31	30	0.61
312	Meizhou	60	60	0	0.60
313	Hami	59	42	17	5.31
314	Gannan	51	26	25	0.71
315	Liaocheng	36	0	36	6.04
316	Zhaotong	35	35	0	5.48
317	Jinan	30	30	0	7.23
318	Hegang	28	19	9	2.64
319	Guangyuan	26	19	7	1.04
320	Luoyang	21	0	21	6.80
321	Tongling	18	0	18	1.60
322	Shengzhou	17	0	17	4.04
323	Huzhou	16	0	16	2.98
324	Shengzhou	13	7	6	5.10
325	Taian	11	0	11	5.64
326	Shengzhou	10	0	10	2.16
327	Huaibei	10	0	10	2.21
328	Zaozhuang	9	0	9	3.92
329	Huainan	8	0	8	4.92
330	Xuancheng	7	0	7	3.33
331	Hengshui	7	0	7	3.46
332	Longnan	6	0	6	2.60
333	Hefei	6	0	6	4.45
334	Huaihua	6	0	6	2.60
335	Ganzhou	0	0	0	7.87
336	Shuanghe	0	0	0	8.59
337	Maanshan	0	0	0	0.05
338	Bengbu	0	0	0	2.78
339	Bazhou	0	0	0	0.94
340	Linyi	0	0	0	10.44
341	Beitun	0	0	0	0.08
342	Yibin	0	0	0	4.51
343	Shangqiu	0	0	0	7.28
344	Taizhou	0	0	0	4.65
345	Shaoyang	0	0	0	7.32
346	Heze	0	0	0	8.62
347	Yichun	0	0	0	5.53
348	Wuxi	0	0	0	6.53
349	Fuyang	0	0	0	7.99
350	Yutian County, Xinjiang	0	0	0	0.22
351	Xuzhou	0	0	0	8.71
352	Suqian	0	0	0	4.88
353	Hetian County, Xinjiang	0	0	0	0.28
354	Huaian	0	0	0	4.89
355	Kaifeng	0	0	0	4.55
356	Nanjing	0	0	0	8.27
357	Loudi	0	0	0	3.89
358	Suzhou	0	0	0	5.60
359	Macau	0	0	0	0.63
360	Jining	0	0	0	8.35
361	Qiandongnan	0	0	0	3.51
362	Kokodala	0	0	0	0.08
363	Xianyang	0	0	0	4.99
364	Lianyungang	0	0	0	4.50
365	Gejiu, Yunnan	0	0	0	0.47
366	Shangrao	0	0	0	6.75
367	Moyu County, Xinjiang	0	0	0	0.53
368	Wuhu	0	0	0	3.67
369	Sanmenxia	0	0	0	2.26
